AffyID	Gene	Symbol	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Ana	Ana	Ana	Ana	Ana	Ana	Aer	Aer	Ana	Ana	Ana	Ana	Ana	Aer	Aer	Ana	Aer	Ana	Ana	Ana	Ana	Aer	Aer	Aer	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Aer	Aer	Aer	Aer	Aer	Aer	Ana	Ana	Ana	Ana	Aer	Aer	Aer	Aer	Aer	Aer	Ana	Ana	Ana	Aer	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Ana	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Ana	Ana	Ana	Ana	Ana	Ana	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Aer	Ana	Ana	Ana	Ana	Ana	Ana	CorrectPvalue	Upperbound	Lowebound
10058_at	YLR256W	HAP1	8.226580634	8.248142288	8.190971342	7.583700643	8.078554119	8.193541475	8.143871275	8.348131215	8.654969206	8.313426948	8.406203304	7.656274257	8.067064295	8.306036938	8.207746467	8.789842691	8.738892581	8.598871235	7.442791922	7.688711618	7.516053216	7.275293919	7.981945102	8.103446916	8.215066991	8.526491101	7.57521293	7.809132592	7.743098264	9.121543878	9.042786586	7.508933602	6.975070038	6.883154382	6.756107319	6.70703984	6.878854305	5.841388729	6.4468408	6.750704307	6.172132939	8.845160483	8.567741423	8.095172926	7.535061406	7.761459815	7.168356019	7.296239885	9.916951145	9.334998138	7.140514362	9.894760176	8.430859585	7.908861113	8.152477172	7.873469829	8.897853864	8.866910914	9.336656512	7.778238807	7.379467439	7.275547957	7.138020977	7.341136456	6.879685429	6.76821609	6.937894362	6.319271633	6.256377225	6.289683328	7.503758411	7.346901502	7.635187154	5.70217892	6.414880812	6.198818645	6.084348778	6.950199634	6.92752175	6.717030115	7.162551451	7.074623173	7.072744772	6.555722702	7.394694365	7.394999543	6.283309904	6.667657427	7.342285122	7.445365024	7.387690123	6.696326285	6.939040233	7.539295163	6.833903341	6.567109142	6.551717335	6.629314942	6.68001218	6.75771135	8.067317004	8.021612975	7.709474063	7.306810876	8.613883002	9.49259379	7.855204121	7.739429461	8.516754197	7.415853546	6.580046718	7.190367246	7.240561436	7.683041058	6.912949078	7.081785713	7.844062331	7.80788141	7.437687415	7.001972663	7.132900672	6.904242986	7.444097522	8.494252186	8.23421772	8.443637895	8.55747607	8.115922997	8.132709467	8.126017494	7.996923895	7.485246237	7.591826973	8.28238485	6.933659027	6.995428608	7.387429321	6.444359792	6.827060725	6.931670176	6.154014633	6.882879241	6.506245528	8.433212274	8.31303121	7.853780312	6.55818175	6.533243752	6.76459596	7.059086781	7.056643459	6.747424057	7.027901575	7.006262674	6.892245778	7.109797021	7.230985145	7.184312433	7.400875509	7.480996141	7.30563871	7.430749005	7.634905339	7.466462108	6.708144669	7.568450955	7.402078594	7.312591483	7.298081452	7.100906919	2.39E-08	2.14E-08	2.65E-08
10096_at	YLR248W	RCK2	9.457160867	9.430568673	9.413284349	9.58005143	9.371003152	9.411479952	9.681600534	9.604004882	9.816483552	9.608614	9.604076403	9.634594902	9.630657192	9.379538441	9.719060883	10.32101914	10.13597305	10.15171818	9.935643167	10.1024924	10.04047015	10.75109101	9.666874871	9.88732908	9.587992639	9.836334289	9.307162322	9.24909496	9.378540017	10.24321362	10.32040976	9.52078435	9.158371012	9.29424661	9.157965646	10.38828276	10.37302499	9.703473988	9.85900886	10.13696485	9.519804885	10.43574151	10.51474383	10.51406761	10.02637571	10.42807862	10.09703449	10.05477144	9.559173531	9.612494527	10.2740784	9.74183941	9.834112149	10.13640687	9.959313446	10.48438166	10.34597977	10.37724676	10.54486941	9.774959547	10.78050614	9.90971941	10.06090732	9.85008336	9.953221333	9.909029008	10.04526426	9.556577709	9.521977454	9.862710033	9.735357282	9.750013355	9.794763582	10.13115216	10.10251812	10.13578033	9.614837657	9.431573863	9.28800966	9.380422622	9.314620991	9.4090261	9.35312556	9.53174589	9.380277713	9.314173771	9.478531813	9.614419933	9.982398041	10.20645324	10.23554518	9.475810102	9.440889303	9.810443907	9.495251646	9.222137512	9.282644361	9.153059988	9.392087904	9.567965465	9.697413476	9.670783944	9.617934176	10.10541356	9.964020667	10.44525141	9.761052137	9.678843484	10.04802225	9.87269981	10.1279287	9.798593514	9.576597245	9.68770408	9.811417612	9.946111682	9.954563133	9.904111936	9.65703392	9.940908393	9.797700916	9.546609943	9.767220541	9.761104559	9.686412807	9.927318567	9.976086573	9.718263662	10.03285875	9.606220306	9.667319272	9.54022977	9.442077619	10.29929927	10.11799055	9.857153913	10.06842616	9.496625005	9.840786954	9.651600852	9.89538291	9.992074018	9.918597223	10.2341613	10.2934628	10.15165717	9.940693861	9.88901137	9.779567692	9.699724193	9.800136525	9.895906496	9.951166147	9.949006081	10.0759802	9.885681123	9.802827811	9.63890076	10.11969466	10.31805524	10.08447637	9.918232889	9.795700073	10.05880541	10.50439168	9.741131807	10.23346234	10.13948625	10.40615078	10.08995636	0.060338	0.060003125	0.060672875
10136_at	YLR201C	COQ9	8.727497111	8.807996714	9.070927555	8.770429607	8.312348424	9.003716348	8.929533012	8.575449922	8.507351855	8.624549839	8.978277157	9.030813329	8.960091562	8.582088451	8.79724117	9.577437326	9.140463747	8.986625674	8.579161665	8.840566648	8.739446676	10.26800061	8.758028088	8.811553939	8.901073479	9.149980523	9.083358721	9.113896323	8.830362294	9.047266811	9.027493498	8.574416117	8.491836585	8.184133478	8.18366431	8.450282129	8.29306704	8.252639748	8.460480634	7.83785389	8.41331194	8.792280235	8.311581675	8.922407195	8.130549353	9.06240454	9.030734166	9.697738554	8.574251213	8.737960823	9.767505668	8.054878207	8.746564873	8.75219249	8.972120229	9.287666305	9.262826933	9.234230895	9.470766965	8.116378689	8.561010417	8.318553023	8.625220326	7.983557199	8.337344218	8.393713928	8.378223402	8.806920953	8.252146679	8.581620221	8.789954166	8.775278085	8.770230243	8.526694337	8.730743434	8.635860479	8.873489331	8.213408527	8.290395834	8.19909957	8.599431988	8.606340359	8.617097809	8.425724901	8.540936458	8.61618807	7.514000873	8.180396042	8.668055568	8.675000163	8.689122168	8.524253735	8.671083507	8.604199378	8.38306228	8.034939787	8.093889186	8.217881237	8.09268474	8.140562931	8.970913861	8.937505739	8.997570085	8.747969617	8.889328031	8.957121897	8.734696412	9.079207418	9.107326418	8.701791784	8.846311589	8.428422025	8.444233882	8.65328972	7.994295106	7.602067021	8.446705844	8.249871232	8.185112996	7.978747806	8.005250074	7.862956544	8.444783251	9.141891531	9.095518077	9.052594242	9.193277334	8.46582321	8.42716884	8.259919201	8.297307998	8.314314823	7.837367499	8.481333659	8.553329397	8.304639855	8.653458588	8.368837305	9.026488308	8.79567053	8.246702126	8.480052896	8.113283243	8.428057615	8.553869243	8.110951474	8.631690004	8.038902258	8.269574149	8.405382105	8.358199137	8.268827353	8.868768673	8.038115574	8.687385482	8.10068415	8.510474215	8.016658886	8.298338017	8.225898752	8.306138039	8.475044339	8.4567547	8.322645207	8.341399177	8.199878675	8.392620099	8.66252134	8.647607833	8.462615966	0.423812	0.423117023	0.424506977
10206_at	YLR132C	---	7.206640782	7.094215481	7.314017248	7.028428147	7.090420621	7.190373469	7.221808463	7.160181029	6.438318804	6.967032887	6.908374726	6.720589656	7.347074037	6.909052837	7.36771204	7.443531067	7.234055966	7.144952665	8.06960873	7.288793188	7.424002564	7.735096928	7.580937859	7.773548643	7.696561359	6.933134004	7.430810463	7.409465785	7.443305948	7.244196839	7.288882681	7.546759673	7.690070139	7.557346367	7.670353871	7.820135617	7.616480843	7.505515126	7.680291159	7.254901909	7.379886124	7.84766813	7.483274867	7.304414664	6.921857357	7.144772634	7.527808671	7.929326058	6.932975326	7.0721593	7.682367805	6.458695492	7.513419209	7.472730637	7.550123714	7.405889088	7.30945398	7.60409876	7.594728502	7.526251798	7.71237471	7.421564573	7.614013649	7.22941017	7.740225735	7.669678638	7.418087967	7.633712732	7.356565533	7.893879403	7.845589217	7.914067734	7.706013209	7.917257316	7.816591195	8.013483029	7.761448844	7.674958724	8.028958393	7.7481852	7.572781083	7.839504266	7.76417256	7.852900053	8.047031348	8.197956038	7.449214442	8.253255871	7.970727942	8.145466843	8.272239633	7.81384236	8.021844797	7.931586268	7.864589733	7.622358268	7.561230122	7.853202371	7.769950875	7.867575219	7.801693487	7.928016713	7.52001044	8.306931602	6.884478078	7.345875704	7.140507716	7.282295602	7.082061732	7.306048379	7.791650261	7.86101629	7.753340719	7.449310284	7.652645097	7.430324	7.484094618	7.749599429	7.403238319	7.950257734	7.257054287	7.107830542	7.676585685	7.380860765	7.395439624	7.32897905	7.554242563	7.701107989	7.673306461	7.486231839	7.51188087	7.510845645	7.619791023	7.757993165	7.384325986	7.374174511	7.378833246	8.277441078	8.461717626	8.406212788	7.355557949	7.776173554	7.996572518	7.521019005	7.852133209	7.756917068	8.437135753	8.341688267	7.624017744	7.543963895	7.594551013	8.320236174	8.468992234	7.910599741	8.563545223	7.309990857	7.494912611	7.274930943	7.423248804	7.249458236	7.392167134	7.826265768	7.60945698	7.753820448	7.458368797	7.415062972	7.647763699	7.840641483	7.96134944	7.796756721	4.32E-06	3.93E-06	4.70E-06
10213_at	YLR139C	SLS1	6.410120925	5.697926964	6.238979314	5.892757482	5.605846846	5.660436658	5.987266059	5.896190217	5.093625498	5.115887634	4.773491874	5.914858366	6.072179349	6.301179362	5.948760479	6.139282229	5.845677815	5.803181564	4.846336853	5.983774198	5.797994118	4.957426051	5.404874859	5.038836923	5.840588539	5.767330182	6.107648956	5.861692004	5.648737965	5.296938886	5.435607927	5.999671907	5.708952947	5.957252051	6.128046097	5.404490529	5.725834798	5.817315603	6.664043878	5.438258581	5.95209601	5.318601556	5.351135711	6.057997678	5.088778064	6.136281019	6.050705854	5.14326908	4.753690745	4.517168464	5.206992565	5.042394646	5.38071681	4.830752788	5.414425362	5.835752441	4.678884545	5.245236847	4.471150384	5.258696123	5.800584258	5.720712686	6.077725384	5.895797736	5.662163762	5.640661761	5.9237852	5.958787471	5.939954795	5.735560465	5.426540417	5.485840351	5.112690126	5.985670602	6.379440753	6.407012519	6.013508399	5.266949163	5.369935964	5.543698323	5.538203741	5.553717631	5.144688585	5.797678436	5.383952035	5.476213493	6.241906712	5.793366945	5.503899596	5.880114578	4.798340788	4.864924417	4.842082021	5.791940627	5.755851702	5.432808451	5.406294818	6.132164415	6.008810541	5.350404247	6.293956773	6.468298855	5.194658295	6.285990644	5.179983113	5.232143942	5.303045334	6.365578641	5.617988688	5.621106596	5.482173394	5.585501157	5.266539575	5.920757813	5.796003361	5.992712516	5.288276605	5.733654021	5.26143314	5.155824668	5.446283363	5.408220691	5.258774313	4.884995462	5.168477493	5.141674051	5.235843183	5.868197941	5.852965888	5.5613031	5.63394542	5.451277293	5.776979423	5.1198568	5.350148624	5.40437693	5.415863093	5.195154255	5.747668714	5.376914064	5.835130197	6.542343185	5.980403455	5.254062231	5.435756258	5.012654392	5.364118612	5.283779199	5.606653701	5.831626369	5.61350914	5.32325271	5.451944804	5.424979177	5.680633597	5.165060538	5.276134458	5.009005585	4.353626197	4.309172694	4.170927967	4.629507585	4.756470179	4.67499405	5.815523171	4.896269281	5.916938758	6.01829055	5.906970903	5.851314993	0.0337	0.033446211	0.033953789
10276_at	YLR067C	PET309	4.680261617	5.008909164	5.816839231	5.106828733	5.018203295	5.383566755	5.396960745	4.821581295	5.308473008	5.463727922	5.221711618	5.494084341	5.184724779	4.833841322	5.308169356	5.551605222	4.799990625	4.732753707	5.42481227	5.008484379	5.080182527	5.071359085	5.206792846	5.05639594	5.369556518	4.806581997	4.894068725	4.937748422	5.029987282	4.828382988	5.124680907	5.144689523	5.178223675	5.007135926	5.067411858	4.963526744	5.126925459	5.585793014	5.66978982	5.024019752	5.430642557	4.862862617	4.760281634	5.343438737	4.958580508	5.381019593	5.203308571	5.939985274	5.236712909	5.160645463	5.713852886	4.855235573	5.533164559	5.869938877	5.475790943	5.073442376	5.073159304	5.032917419	5.041554902	4.891819032	5.043445563	4.739509094	5.235927599	4.546386295	4.850728527	4.955824845	4.935601182	5.307356389	5.209298053	5.373970572	4.940797827	5.138684247	5.08596238	5.401061017	5.782105525	5.892052171	5.432483674	5.084295197	5.143737724	5.141544782	4.81388419	4.940908396	4.660994541	5.518096882	4.900934221	5.411885286	5.119243696	5.072331022	5.461011816	5.29263589	5.528319857	4.831174313	5.118130611	4.984513249	5.015770957	4.857709842	4.791207335	4.905686886	4.740042681	4.747330142	4.989985933	4.863870624	4.892944341	5.080080555	5.302445363	5.317756649	4.969512926	4.855635207	5.134881586	4.81418991	5.194581948	5.137175519	4.854957123	4.999623317	4.807319627	4.727959162	4.6271763	4.885720774	4.406340606	4.872240975	5.339083212	4.586950727	4.818893395	5.192931622	5.398149496	4.945072633	5.128924772	4.814610509	4.381106832	4.945141805	4.897829003	5.096249622	4.670830707	5.277722845	5.141968143	5.185844825	5.043332561	5.271951239	5.519792071	5.21340701	4.586565046	5.296623179	5.14977069	4.730440573	4.778311675	4.630111229	4.978292889	5.193041303	5.312011631	5.081991114	5.324075174	5.019606517	5.422718483	5.131980477	5.335799218	4.472599544	4.923263108	4.667643974	4.996873857	4.870894449	4.833046424	4.586663217	4.535289687	4.547801452	4.953096884	5.113475769	5.186712295	5.613605465	5.204573687	5.152239406	0.000824	0.000783646	0.000864354
10296_at	YLR044C	PDC1	12.90598105	13.3842506	13.10584354	12.94353679	12.99434088	13.00092886	12.96298406	12.84852408	12.48713396	12.19917388	11.93541813	12.88329026	12.97765926	13.05753523	12.86114882	12.40243051	12.58456232	12.47350308	11.2850885	12.85598376	12.9234677	11.11693294	12.19189929	12.39982029	12.25788398	12.39272213	12.66547494	12.67663096	12.68270114	12.65626239	12.65266037	12.32787792	12.06515033	11.98110772	12.09919064	12.65354256	12.71177859	11.3799353	11.90631197	12.68214223	11.08855532	12.46064948	12.68612004	12.96810534	12.65953639	12.95088573	12.57324892	11.69742395	12.95615959	12.91160484	11.57033252	12.8358116	12.94217212	12.84100338	13.16955943	13.2641162	12.76604842	12.69415958	12.77535246	11.94037721	13.00578961	12.38480371	12.76379207	12.6936369	12.40186402	12.27377608	12.30044654	11.66698936	11.41959182	11.88846587	11.93390944	11.97994709	12.09848022	11.78250788	12.09556766	12.04180235	10.35883523	11.06623554	11.41214364	11.07653137	11.62530807	11.8432779	11.71686549	11.49028482	11.60037518	11.61650184	10.84806923	10.78930858	11.49994462	11.69107535	11.32836246	11.24855334	11.11316491	11.72029967	12.16718102	11.76910879	11.78620619	12.12896536	12.21613501	12.22586927	12.18629079	12.10154825	11.99942119	11.42361651	12.47789105	12.66540239	12.85089016	12.80857657	12.42604351	12.82950596	10.96967129	11.98732477	11.98104384	12.44431592	11.67320447	11.46224878	11.93955519	12.02451998	11.34324358	11.22088336	11.23397072	10.95622063	11.69612122	12.15001963	12.08527559	12.27530867	12.13076199	12.4655953	12.12923053	12.44952011	12.70769403	12.57858748	12.2874088	12.6474457	12.11965754	12.16575527	11.99057099	11.28247931	11.44902516	11.56108666	12.53944201	12.57027334	12.51566892	12.37309456	12.32465742	12.21725465	12.6510582	12.41840932	11.88412857	11.95730305	12.05054567	12.38323402	12.39747423	12.44520384	12.49738308	11.8597183	11.99164581	11.62751774	12.14276793	10.4589929	12.07374671	11.96826557	11.95580862	12.03212544	12.73541926	11.6594067	11.5051146	11.49296475	12.64392855	12.80601405	1.22E-08	1.04E-08	1.40E-08
10334_at	YLL009C	COX17	8.096953344	8.05852323	9.253132766	8.542046583	7.877299289	8.833490379	8.686039877	9.027909203	9.19127944	9.110931383	9.047712324	9.182626681	8.693004585	8.577239981	8.802441627	8.4574738	8.419734931	8.509321266	9.92688846	7.343940739	7.536287319	9.214149582	7.910823847	7.905391699	7.909662234	8.951827095	8.90308468	8.555270134	7.799755123	8.026355787	7.483143276	9.277400068	9.298416151	9.237977122	9.012234833	9.458962462	8.967356715	10.14153663	10.19471352	8.992873208	9.836506847	8.197196884	8.476841975	7.904646844	7.463732793	8.023853301	6.98666384	9.454636534	7.649457961	7.873710602	9.446865152	7.309043822	8.29106707	9.417884785	8.755764942	8.216547989	8.444702138	8.044414448	7.982570626	9.081301702	8.693694112	9.113267952	9.242074045	8.833211895	8.598298128	8.642343453	8.678558345	9.578166982	9.742988598	9.820268649	9.074267419	9.131645195	9.30605508	9.762751594	9.706755697	10.0162297	9.2051067	9.359810824	8.928944622	9.150360135	9.300489387	9.143231411	9.582252462	9.409502953	9.246336825	9.490957225	9.193881001	9.306728411	9.624586099	9.075404272	9.661991993	9.224078246	9.459454509	9.286221432	9.821626676	9.520645197	9.533390087	9.271831452	9.513427776	9.705200205	7.46391299	7.503353585	7.662836114	9.354460756	9.67333982	7.86106587	8.686823872	8.932498006	8.818962149	8.564322451	9.795831709	9.322998898	8.880455954	9.400754902	9.062216795	9.339878122	9.088129138	9.223198946	9.718313159	9.413439859	9.836843461	9.638261766	9.105388678	8.120467135	8.005476904	7.793348267	7.864828589	7.845965874	8.388452483	8.381395343	8.256832062	8.230047247	8.175257764	8.796582181	9.703793551	9.751693677	9.416990226	9.32536694	9.182155705	8.93915942	9.22302813	8.855529753	9.319314067	8.425182327	8.612673693	8.330846713	8.281574234	9.386570851	10.00306697	9.896099101	10.028121	9.641004592	9.842188778	9.517081227	9.841880841	9.740669239	9.915781015	9.677490184	9.154480935	9.589290662	9.665839174	8.727106123	8.446363477	8.786021195	9.23674007	9.280071288	9.719135292	9.46216298	9.092310788	9.403231501	0.074492	0.074122728	0.074861272
10641_at	YKL055C	OAR1	5.909193462	5.900757739	6.088158986	5.899152303	6.467724319	6.029304015	6.182727749	5.581252111	6.081175879	6.059368041	6.206218768	5.762428284	6.593961738	6.154522453	5.61835819	4.308674825	6.209269508	5.986395871	5.238175419	5.755385413	5.670157001	6.709730657	5.980477786	6.32150839	6.244283718	5.307714049	5.351275845	5.943581611	5.51464747	5.141201833	5.394978457	5.513124025	5.818663107	5.755655746	6.104739216	5.23616233	5.202967189	5.095380776	5.779667883	4.816895485	5.101327013	4.841313846	4.838086142	5.436071868	5.688663955	5.838793223	6.013155509	5.571016769	5.44578794	5.283977539	5.732293624	5.409108242	5.554568285	5.307630124	5.480356257	5.441396828	5.394481147	5.495372343	5.65187068	4.943761862	4.885090863	5.780603438	5.672345171	4.98860503	4.848922689	4.83079816	5.158486896	5.314015253	5.57311636	5.109567671	5.745389985	6.191687594	5.211467248	6.061922619	6.366106056	6.046727648	5.334227047	5.345775168	5.755293884	5.86773299	5.161978191	5.290911659	5.005937979	5.35764173	5.275867862	5.945289597	5.536497082	5.640742295	4.84143256	5.172785313	5.230414775	5.315026822	5.911510035	5.440315731	5.656882306	6.267535236	5.867842214	6.558892707	6.404297286	6.398217643	6.085730483	6.019097848	6.559055298	6.103193374	5.043524306	4.829025304	4.929482451	5.843375644	5.499431575	5.321701069	4.730183601	5.259653037	4.958635348	4.739680282	5.120909682	4.5502167	4.925875645	5.428255106	4.886615745	4.735602379	4.999707689	4.814497001	5.298141037	5.860173717	6.075740335	6.296656636	6.076240029	5.028560754	5.051795364	5.062987812	5.975568284	5.777290827	6.174976401	5.826960569	6.140915435	5.563262026	5.989195333	6.409421826	6.595311197	6.66517444	5.94424674	5.289188833	5.933829312	5.970434195	5.978436501	5.453380151	6.880341522	5.743504466	5.912300597	6.130823199	5.799356931	6.450323128	6.897063225	6.508514381	6.683692384	5.789834998	5.971197174	5.89772464	5.199007571	5.062209546	4.970481892	5.185980292	5.465745867	5.368614225	4.417208676	4.64086394	4.614123814	4.70836494	5.092296166	4.753218194	0.00131	0.001259131	0.001360869
10875_at	YJR127C	RSF2	8.719561592	8.401455844	7.910050422	7.895010514	8.549589164	7.897532989	8.023888666	8.598699539	7.641530567	7.283589388	7.5514608	7.703556039	8.014193472	8.288344395	8.506152125	8.403680793	8.19951629	8.131801566	6.802127803	8.331838564	8.408303286	6.704022444	7.870364165	7.957306385	8.030405993	7.931598677	7.464504256	7.650342443	7.473255136	8.993606578	9.021024649	7.678102478	7.214235374	7.227815091	6.74139458	8.532840769	8.805040342	6.728827026	7.239117598	8.665511162	6.778523474	8.474727652	8.553975192	9.791668883	8.467998529	9.423453375	8.288580828	7.984617261	8.824969334	8.513316162	8.047798249	8.636629152	8.118032512	8.263156034	8.559234592	9.545753547	9.025066456	8.98699947	8.754800771	6.700270691	9.19582371	8.674182874	8.493566481	8.473676652	7.54963298	7.650699085	7.699997478	7.037798408	6.721156157	6.956249235	7.02505826	6.720141852	7.242610985	6.57537935	7.245391838	6.925207617	7.349127274	6.617878965	6.553959761	6.645971217	7.142085098	7.01360708	7.177568434	6.755757799	6.57526301	6.314097393	6.915693818	7.004589929	6.984982495	7.107841106	6.872796015	6.664718056	6.589278653	7.188874834	7.152556824	7.015174946	6.833029215	7.383603041	7.192879145	7.283777625	7.701087953	7.658090063	7.416847678	6.771634141	8.195026411	9.237423899	8.392610526	8.004532853	7.884419466	8.029916629	7.32345393	7.107592991	6.99926088	7.678444436	7.189807365	7.380492235	7.13968743	7.160926338	7.39362719	7.084586998	7.332396002	6.731807699	6.896060492	7.634887702	7.53989215	7.477274427	7.780289624	8.090623864	8.31429198	7.816560733	8.046765348	7.416718077	7.584831225	8.297018958	7.150468287	7.322838329	7.45098455	6.688777487	6.967087269	6.825521457	7.89151476	8.442917792	7.753899118	8.580979377	8.455789631	7.818899631	7.672841047	7.521050423	7.090105008	7.126310272	6.891977345	7.814770669	7.34078211	6.794251442	7.289497908	6.939811261	6.80049563	7.087964091	7.95167352	8.205218256	7.953825467	7.4162178	7.407406375	7.524606277	8.891494771	7.166552068	8.084866626	8.00864403	8.921407677	8.654204337	0.001946	0.00188402	0.00200798
